id;timestamp;cpu_uso;cpu_frecuencia;mem_fisica;mem_swap;interface_nombre;data_down;data_up;conexiones_activas;disk_uso_percent;procesos_nombres;procesos_cpu_uso;procesos_memoria
1;2025-04-10 11:01:26;60.98,58.98;2300,2300;81.0;41.0;Wi-Fi 2,Ethernet 2,Wi-Fi 2-VirtualBox NDIS Light-Weight Filter-0000;118.43,0.00,118.43;5.54,0.00,5.54;86;19.572050094604492;Registry,Spotify.exe,svchost.exe,WidgetService.exe,MsMpEng.exe;0.00,0.00,0.00,0.00,0.00;0.00,13.71,11.95,22.58,0.00
2;2025-04-10 11:06:27;90.16,87.92;2300,2300;80.0;42.0;Wi-Fi 2,Wi-Fi 2-VirtualBox NDIS Light-Weight Filter-0000,Ethernet 2;126.67,126.67,0.00;6.38,6.38,0.00;101;19.575233459472656;ctfmon.exe,firefox.exe,svchost.exe,MicrosoftEdgeUpdate.exe,StartMenuExperienceHost.exe;0.00,0.00,0.00,0.00,0.00;25.50,16.17,0.00,0.00,34.55
3;2025-04-10 11:06:53;57.89,60.80;2300,2300;81.0;44.0;Ethernet 2,Wi-Fi 2-VirtualBox NDIS Light-Weight Filter-0000,Wi-Fi 2;0.00,126.68,126.68;0.00,6.38,6.38;99;19.575233459472656;svchost.exe,Dell.Update.SubAgent.exe,winlogon.exe,Dell.D3.WinSvc.exe,Code.exe;0.00,0.00,0.00,0.00,0.00;0.00,0.00,0.00,0.00,96.87
4;2025-04-10 11:11:22;78.24,92.57;2300,2300;82.0;44.0;Ethernet 2,Wi-Fi 2,Wi-Fi 2-VirtualBox NDIS Light-Weight Filter-0000;0.00,138.29,138.29;0.00,6.96,6.96;94;19.57624053955078;NisSrv.exe,Spotify.exe,PubPlatform.exe,svchost.exe,sihost.exe;0.00,0.00,0.00,0.00,0.00;0.00,82.93,12.68,0.00,23.94
5;2025-04-10 11:11:30;41.61,85.13;2300,2300;82.0;44.0;Wi-Fi 2-VirtualBox NDIS Light-Weight Filter-0000,Wi-Fi 2,Ethernet 2;138.31,138.31,0.00;6.97,6.97,0.00;95;19.57624053955078;csrss.exe,svchost.exe,dasHost.exe,firefox.exe,OfficeClickToRun.exe;0.00,0.00,0.00,0.00,0.00;0.00,0.00,0.00,28.01,0.00
6;2025-04-10 12:10:42;100.00,100.00;2300,2300;54.0;0.0;Wi-Fi 2-VirtualBox NDIS Light-Weight Filter-0000,Wi-Fi 2,Ethernet 2;0.23,0.23,0.00;0.11,0.11,0.00;59;19.562936782836914;explorer.exe,CrossDeviceService.exe,SearchHost.exe,svchost.exe,StartMenuExperienceHost.exe;5.19,3.08,2.99,2.24,1.84;165.16,73.23,167.69,43.63,106.05
7;2025-04-10 12:11:12;100.00,100.00;2300,2300;63.0;0.0;Ethernet 2,Wi-Fi 2-VirtualBox NDIS Light-Weight Filter-0000,Wi-Fi 2;0.00,2.55,2.55;0.00,0.46,0.46;144;19.56415557861328;Spotify.exe,Spotify.exe,explorer.exe,CrossDeviceService.exe,SearchHost.exe;11.46,8.42,4.01,2.19,2.13;347.55,218.70,158.84,72.61,164.93
8;2025-04-10 12:15:43;99.97,2.41;2300,2300;81.0;0.0;Wi-Fi 2-VirtualBox NDIS Light-Weight Filter-0000,Wi-Fi 2,Ethernet 2;4.15,4.15,0.00;1.08,1.08,0.00;107;19.562780380249023;Spotify.exe,Spotify.exe,explorer.exe,msedge.exe,Copilot.exe;6.63,2.79,1.80,1.06,0.98;241.12,218.18,310.51,177.47,185.66
9;2025-04-10 12:16:12;80.96,14.05;2300,2300;82.0;0.0;Ethernet 2,Wi-Fi 2,Wi-Fi 2-VirtualBox NDIS Light-Weight Filter-0000;0.00,4.19,4.19;0.00,1.10,1.10;107;19.563199996948242;Spotify.exe,Spotify.exe,explorer.exe,msedge.exe,Copilot.exe;6.18,2.65,1.70,1.07,0.91;256.99,218.69,312.14,177.64,185.87
10;2025-04-10 12:20:44;99.93,100.00;2300,2300;86.0;0.0;Ethernet 2,Wi-Fi 2,Wi-Fi 2-VirtualBox NDIS Light-Weight Filter-0000;0.00,10.61,10.61;0.00,1.54,1.54;101;19.560649871826172;Spotify.exe,Spotify.exe,explorer.exe,msedge.exe,Copilot.exe;3.94,1.77,1.06,0.88,0.54;253.92,220.16,318.34,178.33,185.46
11;2025-04-10 12:21:13;99.98,99.99;2300,2300;86.0;0.0;Wi-Fi 2,Wi-Fi 2-VirtualBox NDIS Light-Weight Filter-0000,Ethernet 2;10.81,10.81,0.00;1.58,1.58,0.00;112;19.563142776489258;Spotify.exe,Spotify.exe,explorer.exe,msedge.exe,Copilot.exe;3.78,1.71,1.03,0.84,0.52;253.91,220.27,322.81,178.29,186.45
12;2025-04-10 12:25:45;99.76,99.58;2300,2300;87.0;0.0;Wi-Fi 2-VirtualBox NDIS Light-Weight Filter-0000,Ethernet 2,Wi-Fi 2;84.48,0.00,84.48;3.41,0.00,3.41;92;19.584545135498047;Spotify.exe,Spotify.exe,explorer.exe,msedge.exe,Copilot.exe;2.99,1.40,0.87,0.61,0.38;260.65,220.93,336.29,177.85,186.49
13;2025-04-10 12:26:14;59.28,44.43;2300,2300;87.0;0.0;Wi-Fi 2,Ethernet 2,Wi-Fi 2-VirtualBox NDIS Light-Weight Filter-0000;84.51,0.00,84.51;3.44,0.00,3.44;92;19.587173461914062;Spotify.exe,Spotify.exe,explorer.exe,msedge.exe,Copilot.exe;2.92,1.39,0.88,0.60,0.37;261.38,218.75,338.88,179.21,186.50
14;2025-04-10 12:30:47;42.75,31.18;2300,2300;87.0;3.0;Wi-Fi 2-VirtualBox NDIS Light-Weight Filter-0000,Wi-Fi 2,Ethernet 2;116.99,116.99,0.00;52.10,52.10,0.00;87;19.6019344329834;Spotify.exe,msedge.exe,Spotify.exe,msedge.exe,audiodg.exe;2.53,2.50,1.22,1.22,0.97;255.63,709.64,160.35,145.30,45.00
15;2025-04-10 12:35:48;41.59,100.00;2300,2300;79.0;3.0;Wi-Fi 2-VirtualBox NDIS Light-Weight Filter-0000,Wi-Fi 2,Ethernet 2;133.50,133.50,0.00;52.49,52.49,0.00;80;19.601871490478516;msedge.exe,audiodg.exe,Spotify.exe,msedge.exe,Spotify.exe;2.76,2.61,2.09,1.83,1.04;414.92,29.52,233.39,139.75,158.61
16;2025-04-10 12:40:49;69.76,59.97;2300,2300;79.0;3.0;Wi-Fi 2,Ethernet 2,Wi-Fi 2-VirtualBox NDIS Light-Weight Filter-0000;149.14,0.00,149.14;52.88,0.00,52.88;93;19.6016902923584;audiodg.exe,msedge.exe,msedge.exe,Spotify.exe,Spotify.exe;3.76,2.90,2.25,1.78,0.92;29.52,434.58,134.72,252.22,158.66
17;2025-04-10 12:45:50;47.51,78.21;2300,2300;79.0;3.0;Wi-Fi 2-VirtualBox NDIS Light-Weight Filter-0000,Wi-Fi 2,Ethernet 2;164.98,164.98,0.00;53.46,53.46,0.00;83;19.601730346679688;audiodg.exe,msedge.exe,msedge.exe,Spotify.exe,Spotify.exe;4.55,3.00,2.50,1.57,0.84;29.52,451.78,134.71,229.95,157.95
18;2025-04-10 12:50:52;69.40,60.95;2300,2300;80.0;4.0;Wi-Fi 2-VirtualBox NDIS Light-Weight Filter-0000,Ethernet 2,Wi-Fi 2;180.43,0.00,180.43;53.85,0.00,53.85;86;19.601823806762695;audiodg.exe,msedge.exe,msedge.exe,Spotify.exe,Spotify.exe;5.14,3.13,2.73,1.65,0.85;29.52,459.57,135.34,253.86,159.97
19;2025-04-10 12:55:53;67.34,68.13;2300,2300;81.0;4.0;Wi-Fi 2-VirtualBox NDIS Light-Weight Filter-0000,Ethernet 2,Wi-Fi 2;195.99,0.00,195.99;54.23,0.00,54.23;84;19.601940155029297;audiodg.exe,msedge.exe,msedge.exe,Spotify.exe,Spotify.exe;5.63,3.25,2.92,1.54,0.80;29.53,480.89,131.01,240.08,160.18
